Table Name,State Code,District Code,Tehsil Code,Area Name,Total/ Rural/ Urban,Age-group,Total population - Persons,Total population - Males,Total population - Females,Population attending educational institutions - Persons,Population attending educational institutions - Males,Population attending educational institutions - Females,Type of educational institution - School - Persons,Type of educational institution - School - Males,Type of educational institution - School - Females,Type of educational institution - College - Persons,Type of educational institution - College - Males,Type of educational institution - College - Females,Type of educational institution - Vocational institute - Persons,Type of educational institution - Vocational institute - Males,Type of educational institution - Vocational institute - Females,Type of educational institution - Other institute - Persons,Type of educational institution - Other institute - Males,Type of educational institution - Other institute - Females,Type of educational institution - Literacy centre - Persons,Type of educational institution - Literacy centre - Males,Type of educational institution - Literacy centre - Females,,
C3010,33,1,0,District - Thiruvallur  01,Rural,12,28701,14697,14004,24781,12887,11894,24781,12887,11894,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Rural,13,25739,12826,12913,21805,11171,10634,21805,11171,10634,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Rural,14,22953,11646,11307,18123,9545,8578,18123,9545,8578,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Rural,15-19,127042,65496,61546,47420,27463,19957,42192,24105,18087,3644,2280,1364,1131,814,317,433,257,176,20,7,13,,
C3010,33,1,0,District - Thiruvallur  01,Rural,20-24,120996,60427,60569,9967,6675,3292,3437,2090,1347,5676,4056,1620,506,357,149,245,143,102,103,29,74,,
C3010,33,1,0,District - Thiruvallur  01,Rural,25-29,119531,57619,61912,1241,894,347,0,0,0,719,584,135,230,172,58,136,93,43,156,45,111,,
C3010,33,1,0,District - Thiruvallur  01,Rural,30-34,92332,46768,45564,373,240,133,0,0,0,170,126,44,65,45,20,41,28,13,97,41,56,,
C3010,33,1,0,District - Thiruvallur  01,Rural,35-59,331422,166780,164642,794,454,340,0,0,0,164,131,33,111,57,54,67,43,24,452,223,229,,
C3010,33,1,0,District - Thiruvallur  01,Rural,60+,95861,44904,50957,172,99,73,0,0,0,26,19,7,31,18,13,10,5,5,105,57,48,,
C3010,33,1,0,District - Thiruvallur  01,Rural,Age not stated,3906,1965,1941,34,21,13,0,0,0,20,14,6,8,4,4,5,3,2,1,0,1,,
C3010,33,1,0,District - Thiruvallur  01,Urban,All ages,1500082,768355,731727,347590,182484,165106,305533,157372,148161,32767,18890,13877,6311,4549,1762,2702,1537,1165,277,136,141,,
C3010,33,1,0,District - Thiruvallur  01,Urban,0-4,120177,61464,58713,13650,7087,6563,13650,7087,6563,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Urban,5,26762,13751,13011,15278,7938,7340,15278,7938,7340,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Urban,6,24247,12341,11906,17974,9249,8725,17974,9249,8725,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Urban,7,25211,12930,12281,22429,11547,10882,22429,11547,10882,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Urban,8,27036,13549,13487,24830,12422,12408,24830,12422,12408,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Urban,9,23261,11692,11569,21657,10895,10762,21657,10895,10762,0,0,0,0,0,0,0,0,0,0,0,0,,
C3010,33,1,0,District - Thiruvallur  01,Urban,10,31463,16404,15059,28506,14869,13637,28506,14869,13637,0,0,0,0,0,0,0,0,0,0,0,0,,
